data/LR/train/LR/02. Cafe/color/in_01_160322_142841_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_142841_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_143823_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_143823_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_144032_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_144032_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_144116_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_144116_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_144253_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_144253_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_144355_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_144355_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_144916_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_144916_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_01_160322_145109_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_01_160322_145109_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_02_160315_140419_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_02_160315_140419_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_02_160315_150844_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_02_160315_150844_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_02_160315_150950_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_02_160315_150950_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_02_160315_151029_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_02_160315_151029_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_02_160315_151506_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_02_160315_151506_depth_vi.png
data/LR/train/LR/02. Cafe/color/in_02_160315_153951_c.png,data/LR/train/LR/02. Cafe/depth_vi/in_02_160315_153951_depth_vi.png
